slug	title	url	source	kind	reason
%e3%80%8e%e6%8d%8d%e8%a1%9b%e9%9a%b1%e7%a7%81-%e5%b0%b1%e6%98%af-firefox-%e7%9a%84%e6%ad%a3%e7%be%a9%e3%80%8fbbs-%e9%84%89%e6%b0%91%e7%9a%84%e6%ad%a3%e7%be%a9%e9%9b%bb%e5%bd%b1%e7%b0%bd%e5%90%8d	『捍衛隱私 就是 Firefox 的正義』BBS 鄉民的正義電影簽名海報大方送	https://blog.mozilla.com.tw/wp-content/uploads/1113-1024x578.jpg	img	image	https://blog.mozilla.com.tw/wp-content/uploads/1113-1024x578.jpg: 20160901215737:http_404 | timegate:http_404 | https://blog.mozilla.com.tw/wp-content/uploads/1113.jpg: 20160901215737:http_404 | timegate:http_404
%e3%80%8e%e6%8d%8d%e8%a1%9b%e9%9a%b1%e7%a7%81-%e5%b0%b1%e6%98%af-firefox-%e7%9a%84%e6%ad%a3%e7%be%a9%e3%80%8fbbs-%e9%84%89%e6%b0%91%e7%9a%84%e6%ad%a3%e7%be%a9%e9%9b%bb%e5%bd%b1%e7%b0%bd%e5%90%8d	『捍衛隱私 就是 Firefox 的正義』BBS 鄉民的正義電影簽名海報大方送	https://blog.mozilla.com.tw/wp-content/uploads/1113.jpg	img-original	image	https://blog.mozilla.com.tw/wp-content/uploads/1113.jpg: 20160901215737:http_404 | timegate:http_404
%e7%8b%90%e8%bf%b7%e5%8f%ac%e9%9b%86%e4%bb%a4-%e7%a7%80%e5%87%ba%e7%9c%9f%e6%9c%ac%e4%ba%8b%e6%90%b6%e6%8b%bf-firefox-%e6%8a%b1%e6%9e%95	狐迷召集令~ 秀出真本事搶 Firefox 抱枕!	https://blog.mozilla.com.tw/wp-content/uploads/pillow.jpg	img-original	image	https://blog.mozilla.com.tw/wp-content/uploads/pillow.jpg: 20160901185101:fetch failed | timegate:fetch failed
%e7%8b%90%e8%bf%b7%e5%8f%ac%e9%9b%86%e4%bb%a4-%e7%a7%80%e5%87%ba%e7%9c%9f%e6%9c%ac%e4%ba%8b%e6%90%b6%e6%8b%bf-firefox-%e6%8a%b1%e6%9e%95	狐迷召集令~ 秀出真本事搶 Firefox 抱枕!	https://blog.mozilla.com.tw/wp-content/uploads/event.jpg	img-original	image	https://blog.mozilla.com.tw/wp-content/uploads/event.jpg: 20160901185101:fetch failed | timegate:fetch failed
%e7%8b%90%e8%bf%b7%e5%8f%ac%e9%9b%86%e4%bb%a4-%e7%a7%80%e5%87%ba%e7%9c%9f%e6%9c%ac%e4%ba%8b%e6%90%b6%e6%8b%bf-firefox-%e6%8a%b1%e6%9e%95	狐迷召集令~ 秀出真本事搶 Firefox 抱枕!	https://blog.mozilla.com.tw/events/%e7%8b%90%e8%bf%b7%e5%8f%ac%e9%9b%86%e4%bb%a4-%e7%a7%80%e5%87%ba%e7%9c%9f%e6%9c%ac%e4%ba%8b%e6%90%b6%e6%8b%bf-firefox-%e6%8a%b1%e6%9e%95	a-href	media	https://blog.mozilla.com.tw/events/%e7%8b%90%e8%bf%b7%e5%8f%ac%e9%9b%86%e4%bb%a4-%e7%a7%80%e5%87%ba%e7%9c%9f%e6%9c%ac%e4%ba%8b%e6%90%b6%e6%8b%bf-firefox-%e6%8a%b1%e6%9e%95: 20160901185101:fetch failed | timegate:fetch failed
%e7%8b%90%e8%bf%b7%e5%8f%ac%e9%9b%86%e4%bb%a4-%e7%a7%80%e5%87%ba%e7%9c%9f%e6%9c%ac%e4%ba%8b%e6%90%b6%e6%8b%bf-firefox-%e6%8a%b1%e6%9e%95	狐迷召集令~ 秀出真本事搶 Firefox 抱枕!	https://blog.mozilla.com.tw/?attachment_id=1470#main	a-href	media	https://blog.mozilla.com.tw/?attachment_id=1470#main: 20160901185101:fetch failed | timegate:fetch failed
%e7%8b%90%e8%bf%b7%e5%8f%ac%e9%9b%86%e4%bb%a4-%e7%a7%80%e5%87%ba%e7%9c%9f%e6%9c%ac%e4%ba%8b%e6%90%b6%e6%8b%bf-firefox-%e6%8a%b1%e6%9e%95	狐迷召集令~ 秀出真本事搶 Firefox 抱枕!	https://blog.mozilla.com.tw/?attachment_id=1471#main	a-href	media	https://blog.mozilla.com.tw/?attachment_id=1471#main: 20160901185101:fetch failed | timegate:fetch failed
%e9%9b%bb%e5%bd%b1%e7%a5%a8%e5%a4%a7%e6%96%b9%e9%80%81%e3%80%8e%e6%8d%8d%e8%a1%9b%e9%9a%b1%e7%a7%81%ef%bc%8c%e5%b0%b1%e6%98%af-firefox-%e7%9a%84%e6%ad%a3%e7%be%a9%ef%bc%81%e3%80%8f	電影票大方送『捍衛隱私，就是 Firefox 的正義！』	https://blog.mozilla.com.tw/wp-content/uploads/main-page_BBS1.jpg	img-original	image	https://blog.mozilla.com.tw/wp-content/uploads/main-page_BBS1.jpg: 20160902004038:fetch failed | timegate:fetch failed
%e9%9b%bb%e5%bd%b1%e7%a5%a8%e5%a4%a7%e6%96%b9%e9%80%81%e3%80%8e%e6%8d%8d%e8%a1%9b%e9%9a%b1%e7%a7%81%ef%bc%8c%e5%b0%b1%e6%98%af-firefox-%e7%9a%84%e6%ad%a3%e7%be%a9%ef%bc%81%e3%80%8f	電影票大方送『捍衛隱私，就是 Firefox 的正義！』	https://blog.mozilla.com.tw/wp-content/uploads/114.jpg	img-original	image	https://blog.mozilla.com.tw/wp-content/uploads/114.jpg: 20160902004038:fetch failed | timegate:fetch failed
%e9%9b%bb%e5%bd%b1%e7%a5%a8%e5%a4%a7%e6%96%b9%e9%80%81%e3%80%8e%e6%8d%8d%e8%a1%9b%e9%9a%b1%e7%a7%81%ef%bc%8c%e5%b0%b1%e6%98%af-firefox-%e7%9a%84%e6%ad%a3%e7%be%a9%ef%bc%81%e3%80%8f	電影票大方送『捍衛隱私，就是 Firefox 的正義！』	https://blog.mozilla.com.tw/wp-content/uploads/123.jpg	img-original	image	https://blog.mozilla.com.tw/wp-content/uploads/123.jpg: 20160902004038:fetch failed | timegate:fetch failed
%e9%9b%bb%e5%bd%b1%e7%a5%a8%e5%a4%a7%e6%96%b9%e9%80%81%e3%80%8e%e6%8d%8d%e8%a1%9b%e9%9a%b1%e7%a7%81%ef%bc%8c%e5%b0%b1%e6%98%af-firefox-%e7%9a%84%e6%ad%a3%e7%be%a9%ef%bc%81%e3%80%8f	電影票大方送『捍衛隱私，就是 Firefox 的正義！』	https://blog.mozilla.com.tw/wp-content/uploads/132.jpg	img-original	image	https://blog.mozilla.com.tw/wp-content/uploads/132.jpg: 20160902004038:fetch failed | timegate:fetch failed
%e9%9b%bb%e5%bd%b1%e7%a5%a8%e5%a4%a7%e6%96%b9%e9%80%81%e3%80%8e%e6%8d%8d%e8%a1%9b%e9%9a%b1%e7%a7%81%ef%bc%8c%e5%b0%b1%e6%98%af-firefox-%e7%9a%84%e6%ad%a3%e7%be%a9%ef%bc%81%e3%80%8f	電影票大方送『捍衛隱私，就是 Firefox 的正義！』	https://blog.mozilla.com.tw/locations/%e4%bf%a1%e7%be%a9%e8%8f%af%e7%b4%8d%e5%a8%81%e7%a7%80%e5%bd%b1%e5%9f%8e	a-href	media	https://blog.mozilla.com.tw/locations/%e4%bf%a1%e7%be%a9%e8%8f%af%e7%b4%8d%e5%a8%81%e7%a7%80%e5%bd%b1%e5%9f%8e: 20160902004038:fetch failed | timegate:fetch failed
%e9%9b%bb%e5%bd%b1%e7%a5%a8%e5%a4%a7%e6%96%b9%e9%80%81%e3%80%8e%e6%8d%8d%e8%a1%9b%e9%9a%b1%e7%a7%81%ef%bc%8c%e5%b0%b1%e6%98%af-firefox-%e7%9a%84%e6%ad%a3%e7%be%a9%ef%bc%81%e3%80%8f	電影票大方送『捍衛隱私，就是 Firefox 的正義！』	https://mozilla.com.tw/join_us/firefox_and_bbs/	a-href	media	https://mozilla.com.tw/join_us/firefox_and_bbs/: fetch failed
%e9%9b%bb%e5%bd%b1%e7%a5%a8%e5%a4%a7%e6%96%b9%e9%80%81%e3%80%8e%e6%8d%8d%e8%a1%9b%e9%9a%b1%e7%a7%81%ef%bc%8c%e5%b0%b1%e6%98%af-firefox-%e7%9a%84%e6%ad%a3%e7%be%a9%ef%bc%81%e3%80%8f	電影票大方送『捍衛隱私，就是 Firefox 的正義！』	https://blog.mozilla.com.tw/?attachment_id=811#main	a-href	media	https://blog.mozilla.com.tw/?attachment_id=811#main: 20160902004038:fetch failed | timegate:fetch failed
%e9%9b%bb%e5%bd%b1%e7%a5%a8%e5%a4%a7%e6%96%b9%e9%80%81%e3%80%8e%e6%8d%8d%e8%a1%9b%e9%9a%b1%e7%a7%81%ef%bc%8c%e5%b0%b1%e6%98%af-firefox-%e7%9a%84%e6%ad%a3%e7%be%a9%ef%bc%81%e3%80%8f	電影票大方送『捍衛隱私，就是 Firefox 的正義！』	https://blog.mozilla.com.tw/?attachment_id=812#main	a-href	media	https://blog.mozilla.com.tw/?attachment_id=812#main: 20160902004038:fetch failed | timegate:fetch failed
%e9%9b%bb%e5%bd%b1%e7%a5%a8%e5%a4%a7%e6%96%b9%e9%80%81%e3%80%8e%e6%8d%8d%e8%a1%9b%e9%9a%b1%e7%a7%81%ef%bc%8c%e5%b0%b1%e6%98%af-firefox-%e7%9a%84%e6%ad%a3%e7%be%a9%ef%bc%81%e3%80%8f	電影票大方送『捍衛隱私，就是 Firefox 的正義！』	https://blog.mozilla.com.tw/?attachment_id=813#main	a-href	media	https://blog.mozilla.com.tw/?attachment_id=813#main: 20160902004038:fetch failed | timegate:fetch failed
%e9%9b%bb%e5%bd%b1%e7%a5%a8%e5%a4%a7%e6%96%b9%e9%80%81%e3%80%8e%e6%8d%8d%e8%a1%9b%e9%9a%b1%e7%a7%81%ef%bc%8c%e5%b0%b1%e6%98%af-firefox-%e7%9a%84%e6%ad%a3%e7%be%a9%ef%bc%81%e3%80%8f	電影票大方送『捍衛隱私，就是 Firefox 的正義！』	https://blog.mozilla.com.tw/?attachment_id=814#main	a-href	media	https://blog.mozilla.com.tw/?attachment_id=814#main: 20160902004038:fetch failed | timegate:fetch failed
%e9%9b%bb%e5%bd%b1%e7%a5%a8%e5%a4%a7%e6%96%b9%e9%80%81%e3%80%8e%e6%8d%8d%e8%a1%9b%e9%9a%b1%e7%a7%81%ef%bc%8c%e5%b0%b1%e6%98%af-firefox-%e7%9a%84%e6%ad%a3%e7%be%a9%ef%bc%81%e3%80%8f	電影票大方送『捍衛隱私，就是 Firefox 的正義！』	https://blog.mozilla.com.tw/?attachment_id=815#main	a-href	media	https://blog.mozilla.com.tw/?attachment_id=815#main: 20160902004038:fetch failed | timegate:fetch failed
%e9%ab%98%e9%9b%84%e7%ac%ac%e4%b8%80%e7%ab%99-1027-firefox-os-%e9%a6%96%e5%ba%a6%e5%89%8d%e9%80%b2%e9%ab%98%e9%9b%84%ef%bc%8c%e5%8d%97%e9%83%a8%e9%84%89%e8%a6%aa%e7%85%a7%e9%81%8e%e4%be%86	[ 高雄第一站 ] 10/27 Firefox OS 首度前進高雄，南部鄉親照過來！	https://blog.mozilla.com.tw/locations/%e9%ab%98%e9%9b%84%e8%bb%9f%e9%ab%94%e5%9c%92%e5%8d%80-a-%e6%a3%9f	a-href	media	https://blog.mozilla.com.tw/locations/%e9%ab%98%e9%9b%84%e8%bb%9f%e9%ab%94%e5%9c%92%e5%8d%80-a-%e6%a3%9f: 20160901221249:fetch failed | timegate:fetch failed
%e9%ab%98%e9%9b%84%e7%ac%ac%e4%b8%80%e7%ab%99-1027-firefox-os-%e9%a6%96%e5%ba%a6%e5%89%8d%e9%80%b2%e9%ab%98%e9%9b%84%ef%bc%8c%e5%8d%97%e9%83%a8%e9%84%89%e8%a6%aa%e7%85%a7%e9%81%8e%e4%be%86	[ 高雄第一站 ] 10/27 Firefox OS 首度前進高雄，南部鄉親照過來！	https://blog.mozilla.com.tw/?attachment_id=1331#main	a-href	media	https://blog.mozilla.com.tw/?attachment_id=1331#main: 20160901221249:fetch failed | timegate:fetch failed
